citation_key,identifier,verification_basis,manuscript_status
pnueli1977temporal,doi:10.1109/SFCS.1977.32,stable bibliographic metadata manually reviewed; identifier included where known,included
lamport1994tla,doi:10.1145/177492.177726,stable bibliographic metadata manually reviewed; identifier included where known,included
clarke1986modelchecking,doi:10.1145/5397.5399,stable bibliographic metadata manually reviewed; identifier included where known,included
alur1994timed,doi:10.1016/0304-3975(94)90010-8,stable bibliographic metadata manually reviewed; identifier included where known,included
milner2001bigraphs,doi:10.1007/3-540-44685-0_2,primary publisher/arXiv record checked during novelty audit,included
bloem2015shield,doi:10.1007/978-3-662-46681-0_51,primary publisher/arXiv record checked during novelty audit,included
pek2020onlineverification,doi:10.1038/s42256-020-0225-y,primary publisher/arXiv record checked during novelty audit,included
dijkstra1974selfstabilizing,doi:10.1145/361179.361202,stable bibliographic metadata manually reviewed; identifier included where known,included
kephart2003autonomic,doi:10.1109/MC.2003.1160055,stable bibliographic metadata manually reviewed; identifier included where known,included
garlan2004rainbow,doi:10.1109/MC.2004.175,stable bibliographic metadata manually reviewed; identifier included where known,included
lee2008cps,doi:10.1109/ISORC.2008.25,stable bibliographic metadata manually reviewed; identifier included where known,included
akyildiz2002wsn,doi:10.1016/S1389-1286(01)00302-4,stable bibliographic metadata manually reviewed; identifier included where known,included
estrin1999sensor,doi:10.1145/313451.313556,stable bibliographic metadata manually reviewed; identifier included where known,included
heinzelman2000leach,doi:10.1109/HICSS.2000.926982,stable bibliographic metadata manually reviewed; identifier included where known,included
hill2000tinyos,doi:10.1145/356989.356998,stable bibliographic metadata manually reviewed; identifier included where known,included
reynolds1987flocks,doi:10.1145/37401.37406,stable bibliographic metadata manually reviewed; identifier included where known,included
dorigo1996antsystem,doi:10.1109/3477.484436,stable bibliographic metadata manually reviewed; identifier included where known,included
kennedy1995pso,doi:10.1109/ICNN.1995.488968,stable bibliographic metadata manually reviewed; identifier included where known,included
brambilla2013swarmrobotics,doi:10.1007/s11721-012-0075-2,stable bibliographic metadata manually reviewed; identifier included where known,included
werfel2014termites,doi:10.1126/science.1245842,stable bibliographic metadata manually reviewed; identifier included where known,included
vonneumann1966selfreproducing,no DOI/arXiv known or applicable,stable bibliographic metadata manually reviewed; identifier included where known,included
langton1984selfreproduction,doi:10.1016/0167-2789(84)90256-2,stable bibliographic metadata manually reviewed; identifier included where known,included
cohen1987viruses,doi:10.1016/0167-4048(87)90122-2,stable bibliographic metadata manually reviewed; identifier included where known,included
eigen1971selforganization,doi:10.1007/BF00623322,stable bibliographic metadata manually reviewed; identifier included where known,included
stanley2002neat,doi:10.1162/106365602320169811,stable bibliographic metadata manually reviewed; identifier included where known,included
schmidhuber2003godel,arXiv:cs/0309048,stable bibliographic metadata manually reviewed; identifier included where known,included
amodei2016concrete,doi:10.48550/arXiv.1606.06565,stable bibliographic metadata manually reviewed; identifier included where known,included
leike2017gridworlds,doi:10.48550/arXiv.1711.09883,stable bibliographic metadata manually reviewed; identifier included where known,included
hadfield2017offswitch,doi:10.24963/ijcai.2017/32,stable bibliographic metadata manually reviewed; identifier included where known,included
verma2015borg,doi:10.1145/2741948.2741964,stable bibliographic metadata manually reviewed; identifier included where known,included
burns2016kubernetes,doi:10.1145/2890784,stable bibliographic metadata manually reviewed; identifier included where known,included
bellifemine2001jade,doi:10.1145/375735.376120,stable bibliographic metadata manually reviewed; identifier included where known,included
fipa2004management,no DOI/arXiv known or applicable,stable bibliographic metadata manually reviewed; identifier included where known,included
